Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,FIBRA OPTICA,SATELITAL,WIMAX,WIRELESS,DIAL UP,OTROS,Total general,TELEFONIAFIJA,3G,4G,Latitud,Longitud
CATAMARCA,Ancasti,Ancasti,361.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,SI,-28.809829766706,-65.5021019996524
CATAMARCA,Andalgalá,Andalgalá,12600.0,862.0,0.0,144.0,2.0,0.0,203.0,0.0,1.0,1212.0,SI,SI,SI,-27.5732225954972,-66.3235466394645
CATAMARCA,Andalgalá,Chaquiago,1096.0,0.0,0.0,9.0,1.0,0.0,14.0,0.0,0.0,24.0,--,--,--,-27.5368955481985,-66.3350568927423
CATAMARCA,Andalgalá,El Potrero,184.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,--,--,--,-27.5162322380357,-66.3434280762552
CATAMARCA,Andalgalá,Aconquija,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,SI,SI,-27.4743798884533,-66.0266884349829
CATAMARCA,Andalgalá,El Alamito,734.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,--,--,--,-27.333537875981,-66.022985174122
CATAMARCA,Andalgalá,La Aguada,378.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,16.0,--,--,--,-27.534089032104,-66.3117750484602
CATAMARCA,Andalgalá,La Mesada,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-27.4511959792163,-66.0199688270559
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,730.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,SI,--,SI,-26.0632957365737,-67.4116706391736
CATAMARCA,Belén,Belén,12256.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,SI,SI,SI,-27.6337582271366,-67.0181224346383
CATAMARCA,Belén,Hualfín,987.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,SI,-27.2251089488391,-66.8257494663378
CATAMARCA,Belén,Londres,2456.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,SI,--,SI,-27.7091441699136,-67.1521288574758
CATAMARCA,Belén,El Durazno,378.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,--,--,--,-27.2352160693093,-67.0644302349354
