Provincia,2018-1,2019-1,2020-1,2021-1,2022-1,Crecimiento
Tucuman,0.05308318011150979,0.06784804827850839,0.05245242843647378,0.052541481251509196,0.25407192650987037,0.2009887463983606
San Juan,0.0801036859075678,0.09349027143886621,0.10038766327785649,0.1480700678446855,0.1638617342194198,0.08375804831185199
Formosa,0.21946919079435784,0.17424962951494105,0.19138992979282424,0.22515092925068067,0.2919813742025372,0.07251218340817939
San Luis,0.3549261544213872,0.08080137021850833,0.06885447572183226,0.0896151199288316,0.09425586595908014,-0.26067028846230705
